IPTV,#genre#
内蒙古卫视,http://182.140.125.47:808/hls/51/index.m3u8
北京卫视,http://222.214.208.34:59901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://182.140.125.47:808/hls/22/index.m3u8
北京卫视,http://123.175.209.162:9003/hls/20/index.m3u8
北京卫视,http://183.184.48.126:9003/hls/18/index.m3u8
北京卫视4K,http://183.184.48.126:9003/hls/46/index.m3u8
厦门卫视,http://113.57.140.161:10081/newlive/live/hls/28/live.m3u8
吉林卫视,http://182.140.125.47:808/hls/48/index.m3u8
吉林卫视,http://123.175.209.162:9003/hls/34/index.m3u8
吉林卫视,http://183.184.48.126:9003/hls/34/index.m3u8
四川卫视,http://222.214.208.34:59901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://182.140.125.47:808/hls/18/index.m3u8
四川卫视,http://183.184.48.126:9003/hls/38/index.m3u8
四川卫视4K,http://183.184.48.126:9003/hls/49/index.m3u8
天津卫视,http://222.214.208.34:59901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://182.140.125.47:808/hls/25/index.m3u8
天津卫视,http://183.184.48.126:9003/hls/19/index.m3u8
宁夏卫视,http://182.140.125.47:808/hls/53/index.m3u8
宁夏卫视,http://123.175.209.162:9003/hls/39/index.m3u8
宁夏卫视,http://183.184.48.126:9003/hls/39/index.m3u8
安徽卫视,http://222.214.208.34:59901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://182.140.125.47:808/hls/42/index.m3u8
安徽卫视,http://123.175.209.162:9003/hls/21/index.m3u8
安徽卫视,http://183.184.48.126:9003/hls/21/index.m3u8
安徽卫视,http://113.57.140.161:10081/newlive/live/hls/40/live.m3u8
山东卫视,http://222.214.208.34:59901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://182.140.125.47:808/hls/26/index.m3u8
山东卫视,http://123.175.209.162:9003/hls/41/index.m3u8
山东卫视,http://183.184.48.126:9003/hls/37/index.m3u8
山东卫视,http://113.57.140.161:10081/newlive/live/hls/35/live.m3u8
山东卫视4K,http://183.184.48.126:9003/hls/45/index.m3u8
山西卫视,http://222.214.208.34:59901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://182.140.125.47:808/hls/50/index.m3u8
山西卫视,http://183.184.48.126:9003/hls/17/index.m3u8
广东卫视,http://222.214.208.34:59901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://182.140.125.47:808/hls/24/index.m3u8
广东卫视,http://123.175.209.162:9003/hls/26/index.m3u8
广东卫视,http://183.184.48.126:9003/hls/26/index.m3u8
广东卫视,http://113.57.140.161:10081/newlive/live/hls/34/live.m3u8
广东卫视4K,http://183.184.48.126:9003/hls/47/index.m3u8
广西卫视,http://222.214.208.34:59901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://182.140.125.47:808/hls/46/index.m3u8
广西卫视,http://123.175.209.162:9003/hls/27/index.m3u8
